smiles,label,InChIKey_from_rdkit
O=C1C(=O)N(c2ccccn2)C(c2cccc([N+](=O)[O-])c2)C1C(=O)c1ccccc1,0,OBUSGDRQTUPGRE-UHFFFAOYSA-N
[CH]1[CH][CH][C](C2([C]3[CH][CH][CH][CH]3)C=Cc3c(c4ccccc4c4ccccc34)O2)[CH]1,0,FFTLVLQCQDPRCZ-UHFFFAOYSA-N
CCCNC(=O)c1ccccc1-n1c(O)c2n(c1=O)C(c1ccccc1)c1[nH]c3ccccc3c1C2,0,AZMUIWHYIUCENU-UHFFFAOYSA-N
O=C1C2CC3C(=CCc4c3c(O)n(C3CCN(Cc5ccccc5)CC3)c4O)C(c3cc(OC(F)(F)F)ccc3O)C2(c2ccccc2)C(=O)N1c1cccc(Cl)c1,0,XEJOJCZKAIWXQR-UHFFFAOYSA-N
CCCCn1c(O)c2n(c1=O)C(c1cccc(OCc3ccccc3[N+](=O)[O-])c1)c1[nH]c3ccccc3c1C2,0,XTPQROVROSVMHD-UHFFFAOYSA-N
Cc1cc[nH+]c(NC(c2cccc(Br)c2)c2ccc3ccc(C)[nH+]c3c2O)c1,0,PZEUMJUWHZCRJQ-UHFFFAOYSA-P
Cc1[nH]c(C(=O)OCC(=O)c2ccc(Br)s2)c(C)c1C(C)O,0,SVLOWAKLCZKIRP-UHFFFAOYSA-N
CCOC(=O)C=Cc1ccccc1C1OC(c2ccccc2)C(C)N1C,0,FRZABHPEUKEVRN-UHFFFAOYSA-N
Cc1c(O)[nH]c2ccc(C(=O)COC(=O)Cc3ccc4c(c3)OCCO4)cc12,0,OEIKRTAFLAONTK-UHFFFAOYSA-N
O=C(Cn1c(O)c2n(c1=O)CCC2)Nc1ccccc1Oc1ccccc1,0,PDHWNQADWQCHBA-UHFFFAOYSA-N
COc1ccc(N=CCC(=O)c2ccc(F)cc2)c([N+](=O)[O-])c1,0,MOWBITZJGDFAIT-UHFFFAOYSA-N
CSC1=C(SCCCC(=O)O)SC(=C2SC(SC)=C(SCCCC(=O)O)S2)S1,0,IRDUNXQUFFXPTG-UHFFFAOYSA-N
N=c1nc(N2CCCCC2)cc(N)n1O,1,ZIMGGGWCDYVHOY-UHFFFAOYSA-N
CC(C)OC(=O)c1ccc(N2C(=O)C(=Nc3ccc(C(=O)Oc4ccc([N+](=O)[O-])cc4)cc3)C(Cl)C2=O)cc1,0,VNXHVLZXMMQYND-UHFFFAOYSA-N
[CH2-]c1c(C)c(C)c(C)c(C)c1C(C)=[C-]C(=O)N=C(N)N,0,MRFNFIDOFUBCQX-UHFFFAOYSA-N
COc1ccc(O)c(C2c3ccc4c(O)n(Cc5cccs5)c(O)c4c3Cc3c(O)cc(C)c(O)c32)c1,0,AMYCWZHVDLSKLX-UHFFFAOYSA-N
